Training ... 
solution loss = 2.238538, solution error = 1.190492, grad_solution error = 2.114475
solution loss = 2.228622, solution error = 1.190723, grad_solution error = 2.113670
solution loss = 2.220776, solution error = 1.188665, grad_solution error = 2.113662
solution loss = 2.219237, solution error = 1.190048, grad_solution error = 2.114139
solution loss = 2.226132, solution error = 1.188948, grad_solution error = 2.110862
solution loss = 2.195585, solution error = 1.190611, grad_solution error = 2.112796
solution loss = 2.187082, solution error = 1.187481, grad_solution error = 2.111919
solution loss = 2.188370, solution error = 1.190802, grad_solution error = 2.110468
solution loss = 2.177805, solution error = 1.187687, grad_solution error = 2.109760
solution loss = 2.169946, solution error = 1.188415, grad_solution error = 2.110185
solution loss = 2.158336, solution error = 1.189004, grad_solution error = 2.108691
solution loss = 2.151755, solution error = 1.189808, grad_solution error = 2.109403
solution loss = 2.151558, solution error = 1.187531, grad_solution error = 2.109356
solution loss = 2.148519, solution error = 1.190245, grad_solution error = 2.106884
solution loss = 2.131305, solution error = 1.189081, grad_solution error = 2.107841
solution loss = 2.131211, solution error = 1.190697, grad_solution error = 2.107178
solution loss = 2.111048, solution error = 1.188546, grad_solution error = 2.108402
solution loss = 2.101487, solution error = 1.188441, grad_solution error = 2.107107
solution loss = 2.099929, solution error = 1.189307, grad_solution error = 2.107697
solution loss = 2.073815, solution error = 1.191546, grad_solution error = 2.104029
solution loss = 2.074809, solution error = 1.189411, grad_solution error = 2.104051
solution loss = 2.067497, solution error = 1.189908, grad_solution error = 2.104734
solution loss = 2.053561, solution error = 1.189142, grad_solution error = 2.102857
solution loss = 2.050052, solution error = 1.188984, grad_solution error = 2.103522
solution loss = 2.061427, solution error = 1.189026, grad_solution error = 2.102363
solution loss = 2.034293, solution error = 1.188818, grad_solution error = 2.102012
solution loss = 2.034827, solution error = 1.190631, grad_solution error = 2.102090
solution loss = 2.039374, solution error = 1.187754, grad_solution error = 2.102804
solution loss = 2.019708, solution error = 1.190213, grad_solution error = 2.101025
solution loss = 2.023614, solution error = 1.189790, grad_solution error = 2.100790
solution loss = 1.999196, solution error = 1.188605, grad_solution error = 2.099722
solution loss = 1.992028, solution error = 1.189552, grad_solution error = 2.100173
solution loss = 1.988842, solution error = 1.188838, grad_solution error = 2.098665
solution loss = 1.985989, solution error = 1.188925, grad_solution error = 2.101204
solution loss = 1.967342, solution error = 1.189174, grad_solution error = 2.097504
solution loss = 1.966731, solution error = 1.188885, grad_solution error = 2.098321
solution loss = 1.974223, solution error = 1.188787, grad_solution error = 2.098653
solution loss = 1.957214, solution error = 1.188571, grad_solution error = 2.096484
solution loss = 1.950675, solution error = 1.189335, grad_solution error = 2.097548
solution loss = 1.957747, solution error = 1.190115, grad_solution error = 2.096170
solution loss = 1.922876, solution error = 1.188147, grad_solution error = 2.095302
solution loss = 1.926388, solution error = 1.189636, grad_solution error = 2.095995
solution loss = 1.920258, solution error = 1.188663, grad_solution error = 2.095660
solution loss = 1.905987, solution error = 1.189816, grad_solution error = 2.095385
solution loss = 1.901614, solution error = 1.189455, grad_solution error = 2.094380
solution loss = 1.902174, solution error = 1.189839, grad_solution error = 2.093837
solution loss = 1.900962, solution error = 1.186672, grad_solution error = 2.094458
solution loss = 1.897633, solution error = 1.189619, grad_solution error = 2.091553
solution loss = 1.868468, solution error = 1.190692, grad_solution error = 2.093253
solution loss = 1.878317, solution error = 1.189319, grad_solution error = 2.092425
solution loss = 1.857362, solution error = 1.187766, grad_solution error = 2.091568
solution loss = 1.859324, solution error = 1.188999, grad_solution error = 2.090662
solution loss = 1.869380, solution error = 1.191651, grad_solution error = 2.091260
solution loss = 1.861405, solution error = 1.189177, grad_solution error = 2.091273
solution loss = 1.837580, solution error = 1.189949, grad_solution error = 2.092015
solution loss = 1.828032, solution error = 1.188471, grad_solution error = 2.090737
solution loss = 1.828148, solution error = 1.190275, grad_solution error = 2.089767
solution loss = 1.821130, solution error = 1.188351, grad_solution error = 2.090574
solution loss = 1.812956, solution error = 1.189960, grad_solution error = 2.088341
solution loss = 1.809909, solution error = 1.192049, grad_solution error = 2.088196
solution loss = 1.803473, solution error = 1.189029, grad_solution error = 2.087422
solution loss = 1.794744, solution error = 1.189703, grad_solution error = 2.089834
solution loss = 1.791804, solution error = 1.189647, grad_solution error = 2.087316
solution loss = 1.790857, solution error = 1.190948, grad_solution error = 2.087154
solution loss = 1.774493, solution error = 1.192355, grad_solution error = 2.085836
solution loss = 1.783237, solution error = 1.190342, grad_solution error = 2.086812
solution loss = 1.783197, solution error = 1.191034, grad_solution error = 2.086731
solution loss = 1.764245, solution error = 1.189163, grad_solution error = 2.085355
solution loss = 1.766415, solution error = 1.190093, grad_solution error = 2.084134
solution loss = 1.754412, solution error = 1.190213, grad_solution error = 2.085496
solution loss = 1.748162, solution error = 1.192073, grad_solution error = 2.084335
solution loss = 1.736169, solution error = 1.190320, grad_solution error = 2.084154
solution loss = 1.729931, solution error = 1.189999, grad_solution error = 2.085876
solution loss = 1.727146, solution error = 1.190656, grad_solution error = 2.084484
solution loss = 1.728497, solution error = 1.190562, grad_solution error = 2.081709
solution loss = 1.722983, solution error = 1.190094, grad_solution error = 2.083498
solution loss = 1.708535, solution error = 1.190306, grad_solution error = 2.082958
