Training ... 
solution loss = 1073.645279, solution error = 2.535098, grad_solution error = 1.598772
solution loss = 1074.111824, solution error = 2.535900, grad_solution error = 1.598973
solution loss = 1125.901779, solution error = 2.535311, grad_solution error = 1.598914
solution loss = 1111.139511, solution error = 2.534128, grad_solution error = 1.598861
solution loss = 1149.047943, solution error = 2.531938, grad_solution error = 1.598728
solution loss = 1195.915306, solution error = 2.527644, grad_solution error = 1.598520
solution loss = 1112.947510, solution error = 2.526301, grad_solution error = 1.599021
solution loss = 1120.875526, solution error = 2.528601, grad_solution error = 1.599387
solution loss = 1091.510620, solution error = 2.529310, grad_solution error = 1.599424
solution loss = 1042.807228, solution error = 2.527912, grad_solution error = 1.599381
